id,grupo,idade,pre_score,pos_score,delta
P001,controle,25,72.44,70.86,-1.58
P002,controle,35,61.68,64.31,2.63
P003,controle,58,76.0,78.77,2.77
P004,controle,38,77.52,84.28,6.76
P005,controle,25,54.39,59.31,4.92
P006,controle,47,59.58,62.83,3.25
P007,controle,59,71.02,78.14,7.12
P008,controle,55,67.47,65.31,-2.16
P009,controle,31,69.87,69.63,-0.24
P010,controle,39,63.18,61.93,-1.25
P011,controle,42,77.04,77.67,0.63
P012,controle,30,76.22,73.4,-2.82
P013,controle,31,70.53,74.75,4.22
P014,controle,30,79.02,80.24,1.22
P015,controle,60,73.74,70.59,-3.15
P016,controle,50,63.13,61.57,-1.56
P017,controle,54,72.95,76.05,3.1
P018,controle,53,62.33,67.26,4.93
P019,controle,59,77.03,86.02,8.99
P020,controle,25,69.6,81.8,12.2
P021,controle,56,68.52,71.97,3.45
P022,controle,23,64.55,63.09,-1.46
P023,controle,40,79.78,74.32,-5.46
P024,controle,44,68.76,71.7,2.94
P025,controle,35,66.57,65.73,-0.84
P026,controle,26,67.18,67.73,0.55
P027,controle,28,74.26,74.12,-0.14
P028,controle,53,72.92,74.43,1.51
P029,controle,33,73.3,79.03,5.73
P030,controle,33,73.45,76.0,2.55
P031,controle,57,87.13,88.58,1.45
P032,controle,26,66.75,65.12,-1.63
P033,controle,57,65.9,62.04,-3.86
P034,controle,57,63.49,63.79,0.3
P035,controle,44,74.93,76.74,1.81
P036,controle,27,79.03,87.22,8.19
P037,controle,27,69.09,71.54,2.45
P038,controle,32,63.28,68.72,5.44
P039,controle,44,63.4,63.66,0.26
P040,controle,27,75.2,73.06,-2.14
P041,controle,39,75.95,74.57,-1.38
P042,controle,25,74.35,73.81,-0.54
P043,controle,42,64.68,74.13,9.45
P044,controle,21,71.86,70.98,-0.88
P045,controle,49,70.93,75.87,4.94
P046,controle,23,71.75,70.59,-1.16
P047,controle,28,76.97,82.23,5.26
P048,controle,27,71.79,75.14,3.35
P049,controle,54,75.43,76.88,1.45
P050,controle,23,70.54,72.4,1.86
P051,controle,38,72.31,72.02,-0.29
P052,controle,44,75.05,78.61,3.56
P053,controle,41,58.34,58.75,0.41
P054,controle,48,67.44,65.15,-2.29
P055,controle,53,66.24,63.76,-2.48
P056,controle,36,64.89,67.49,2.6
P057,controle,54,67.8,75.33,7.53
P058,controle,33,81.96,84.52,2.56
P059,controle,60,63.07,64.66,1.59
P060,controle,41,77.75,80.75,3.0
P061,intervencao,50,56.54,67.11,10.57
P062,intervencao,56,67.32,74.09,6.77
P063,intervencao,52,71.3,75.86,4.56
P064,intervencao,55,74.69,84.56,9.87
P065,intervencao,42,75.69,83.19,7.5
P066,intervencao,22,76.35,87.72,11.37
P067,intervencao,40,67.21,73.85,6.64
P068,intervencao,28,66.3,68.02,1.72
P069,intervencao,56,76.86,78.08,1.22
P070,intervencao,30,68.47,80.25,11.78
P071,intervencao,30,59.79,71.83,12.04
P072,intervencao,30,60.93,66.31,5.38
P073,intervencao,46,62.64,67.3,4.66
P074,intervencao,43,73.98,85.09,11.11
P075,intervencao,58,71.14,73.26,2.12
P076,intervencao,37,75.52,78.39,2.87
P077,intervencao,32,66.58,74.83,8.25
P078,intervencao,22,71.27,75.89,4.62
P079,intervencao,21,75.0,80.99,5.99
P080,intervencao,35,67.53,72.95,5.42
P081,intervencao,58,73.65,80.84,7.19
P082,intervencao,41,64.7,75.63,10.93
P083,intervencao,56,67.1,73.41,6.31
P084,intervencao,25,66.95,75.2,8.25
P085,intervencao,24,60.43,59.26,-1.17
P086,intervencao,54,73.9,79.73,5.83
P087,intervencao,25,66.24,69.29,3.05
P088,intervencao,23,70.1,71.83,1.73
P089,intervencao,37,73.85,76.77,2.92
P090,intervencao,57,73.57,78.4,4.83
P091,intervencao,48,75.32,84.53,9.21
P092,intervencao,24,69.21,70.57,1.36
P093,intervencao,54,66.61,72.72,6.11
P094,intervencao,54,69.36,73.67,4.31
P095,intervencao,53,56.5,61.35,4.85
P096,intervencao,57,58.42,67.93,9.51
P097,intervencao,30,59.42,67.3,7.88
P098,intervencao,60,62.02,72.7,10.68
P099,intervencao,33,73.2,78.66,5.46
P100,intervencao,53,62.76,66.32,3.56
P101,intervencao,44,66.97,72.19,5.22
P102,intervencao,52,80.39,87.24,6.85
P103,intervencao,46,67.15,73.77,6.62
P104,intervencao,46,75.9,78.1,2.2
P105,intervencao,45,62.53,68.85,6.32
P106,intervencao,52,68.36,75.16,6.8
P107,intervencao,50,62.4,77.21,14.81
P108,intervencao,26,67.29,79.86,12.57
P109,intervencao,54,76.72,79.74,3.02
P110,intervencao,42,56.18,61.18,5.0
P111,intervencao,33,73.48,74.35,0.87
P112,intervencao,41,71.9,75.83,3.93
P113,intervencao,59,65.25,72.35,7.1
P114,intervencao,55,58.43,68.65,10.22
P115,intervencao,54,70.58,74.03,3.45
P116,intervencao,39,65.76,69.47,3.71
P117,intervencao,52,71.86,70.35,-1.51
P118,intervencao,36,70.17,75.61,5.44
P119,intervencao,48,82.81,85.1,2.29
P120,intervencao,46,68.09,72.23,4.14
